observed_on,scientific_name,common_name,location,class_name,lat,lon,country,country_code
2025-08-15,Bombus,Bumble Bees,"63.6582816672,28.3958057128",Bumble_Bees,63.6582816672,28.3958057128,Finland,FI
2025-08-14,Bombus bohemicus,Bohemian Cuckoo Bumble bee,"55.1668805086,25.8369277045",Bohemian_Cuckoo_Bumble_bee,55.1668805086,25.8369277045,Lithuania,LT
2025-08-09,Bombus lucorum,White-tailed Bumble Bee,"55.8554033333,-4.0173916667",White-tailed_Bumble_Bee,55.8554033333,-4.0173916667,United Kingdom,GB
2025-07-29,Bombus pascuorum,Common Carder Bumble Bee,"56.480225,-5.9940616667",Common_Carder_Bumble_Bee,56.480225,-5.9940616667,United Kingdom,GB
2025-08-14,Bombus,Bumble Bees,"55.9393141806,-3.1699150801",Bumble_Bees,55.9393141806,-3.1699150801,United Kingdom,GB
2025-08-12,Bombus,Bumble Bees,"46.4677866041,11.527337868",Bumble_Bees,46.4677866041,11.527337868,Italy,IT
2025-08-12,Bombus,Bumble Bees,"46.4677951048,11.5273405293",Bumble_Bees,46.4677951048,11.5273405293,Italy,IT
2025-08-11,Bombus,Bumble Bees,"46.46815131,11.5953909",Bumble_Bees,46.46815131,11.5953909,Italy,IT
2024-05-11,Bombus,,"45.7927308081,21.2137191464",,45.7927308081,21.2137191464,Romania,RO
2025-08-14,Bombus,Bumble Bees,"46.9289393359,-121.5956513021",Bumble_Bees,46.9289393359,-121.5956513021,United States,US
2025-08-14,Bombus,Bumble Bees,"46.9329513693,-121.591538838",Bumble_Bees,46.9329513693,-121.591538838,United States,US
2025-08-14,Bombus,Bumble Bees,"46.9358435808,-121.5929974332",Bumble_Bees,46.9358435808,-121.5929974332,United States,US
2025-08-12,Bombus,Bumble Bees,"57.7159416667,-152.5587466667",Bumble_Bees,57.7159416667,-152.5587466667,United States,US
2025-08-14,Bombus citrinus,Lemon Cuckoo Bumble Bee,"44.9679133333,-93.1575",Lemon_Cuckoo_Bumble_Bee,44.9679133333,-93.1575,United States,US
2025-08-14,Bombus auricomus,Black-and-gold Bumble Bee,"44.96647,-93.1569971667",Black-and-gold_Bumble_Bee,44.96647,-93.1569971667,United States,US
2025-08-12,Bombus,Bumble Bees,"35.5903432059,-105.9911665138",Bumble_Bees,35.5903432059,-105.9911665138,United States,US
2025-08-14,Bombus bimaculatus,Two-spotted Bumble Bee,"44.96365,-93.1449278333",Two-spotted_Bumble_Bee,44.96365,-93.1449278333,United States,US
2025-08-14,Bombus griseocollis,Brown-belted Bumble Bee,"44.96647,-93.1570361667",Brown-belted_Bumble_Bee,44.96647,-93.1570361667,United States,US
2025-08-06,Bombus,Bumble Bees,"36.773845,-118.380425",Bumble_Bees,36.773845,-118.380425,United States,US
2025-08-06,Bombus,Bumble Bees,"36.7738383333,-118.3804333333",Bumble_Bees,36.7738383333,-118.3804333333,United States,US
2025-08-06,Bombus centralis,Great Basin Bumble Bee,"36.7738116667,-118.38073",Great_Basin_Bumble_Bee,36.7738116667,-118.38073,United States,US
2025-08-12,Bombus,Bumble Bees,"38.8467833333,-104.8296305556",Bumble_Bees,38.8467833333,-104.8296305556,United States,US
2025-08-12,Bombus,Bumble Bees,"38.8467083333,-104.8293972222",Bumble_Bees,38.8467083333,-104.8293972222,United States,US
2025-07-30,Bombus vancouverensis,Vancouver Bumble Bee,"39.4363466119,-120.2087466669",Vancouver_Bumble_Bee,39.4363466119,-120.2087466669,United States,US
2025-07-31,Bombus vancouverensis,Vancouver Bumble Bee,"39.4358329528,-120.2078001191",Vancouver_Bumble_Bee,39.4358329528,-120.2078001191,United States,US
2025-07-31,Bombus vancouverensis,Vancouver Bumble Bee,"39.4354958697,-120.2075571844",Vancouver_Bumble_Bee,39.4354958697,-120.2075571844,United States,US
2025-08-14,Bombus huntii,Hunt's Bumble Bee,"50.6642309923,-120.3163258731",Hunt's_Bumble_Bee,50.6642309923,-120.3163258731,Canada,CA
2025-08-14,Bombus vosnesenskii,Yellow-faced Bumble Bee,"48.4215283333,-123.354325",Yellow-faced_Bumble_Bee,48.4215283333,-123.354325,Canada,CA
2025-08-14,Bombus morrisoni,Morrison's Bumble Bee,"37.94032,-119.0280083333",Morrison's_Bumble_Bee,37.94032,-119.0280083333,United States,US
2025-08-14,Bombus impatiens,Common Eastern Bumble Bee,"45.1668366667,-72.3031833333",Common_Eastern_Bumble_Bee,45.1668366667,-72.3031833333,Canada,CA
2025-07-25,Bombus,Bumble Bees,"65.1994257833,60.2385624167",Bumble_Bees,65.1994257833,60.2385624167,Russia,RU
2025-08-14,Bombus,Bumble Bees,"46.5092277778,-84.3532861111",Bumble_Bees,46.5092277778,-84.3532861111,Canada,CA
2025-08-14,Bombus,Bumble Bees,"46.5091527778,-84.3531888889",Bumble_Bees,46.5091527778,-84.3531888889,Canada,CA
2025-08-14,Bombus impatiens,Common Eastern Bumble Bee,"46.1406833333,-83.9664472222",Common_Eastern_Bumble_Bee,46.1406833333,-83.9664472222,Canada,CA
2025-08-12,Bombus soroeensis,Broken-belted Bumble Bee,"45.5705616667,25.5579333333",Broken-belted_Bumble_Bee,45.5705616667,25.5579333333,Romania,RO
2025-08-12,Bombus,Bumble Bees,"45.5678783333,25.5637416667",Bumble_Bees,45.5678783333,25.5637416667,Romania,RO
2025-08-14,Bombus,Bumble Bees,"42.9939297997,-81.1523628997",Bumble_Bees,42.9939297997,-81.1523628997,Canada,CA
2025-08-14,Bombus rufocinctus,Red-belted Bumble Bee,"42.9939265,-81.1523626997",Red-belted_Bumble_Bee,42.9939265,-81.1523626997,Canada,CA
